speaker_id,first_name,last_name,chamber,type,party,state,district,bio_guide_id,congress_id
2121.0,Doug,COLLINS,HOUSE,REPRESENTATIVE,R,GA,9.0,C001093,113.0
222.0,Mac,COLLINS,HOUSE,REPRESENTATIVE,R,GA,3.0,C000640,107.0
1541.0,Susan,COLLINS,SENATE,SENATOR,R,ME,,C001035,113.0
,,COLLLINS,,,,,,,
224.0,Larry,COMBEST,HOUSE,REPRESENTATIVE,R,TX,19.0,C000653,107.0
2297.0,James,COMER,HOUSE,,R,KY,,C001108,115.0
2273.0,Barbara,COMSTOCK,HOUSE,REPRESENTATIVE,R,VA,10.0,C001105,114.0
1805.0,K.,CONAWAY,HOUSE,REPRESENTATIVE,R,TX,11.0,C001062,113.0
226.0,Gary,CONDIT,HOUSE,REPRESENTATIVE,D,CA,18.0,C000670,107.0
,,CONNELLY,,,,,,,
1959.0,Gerald,CONNOLLY,HOUSE,REPRESENTATIVE,D,VA,11.0,C001078,113.0
1307.0,Kent,CONRAD,SENATE,SENATOR,D,ND,,C000705,107.0
229.0,John,CONYERS,HOUSE,REPRESENTATIVE,D,MI,13.0,C000714,113.0
1475.0,Merrill,COOK,HOUSE,REPRESENTATIVE,R,UT,2.0,C000722,106.0
2103.0,Paul,COOK,HOUSE,REPRESENTATIVE,R,CA,8.0,C001094,113.0
1476.0,John,COOKSEY,HOUSE,REPRESENTATIVE,R,LA,5.0,C000735,107.0
230.0,Wes,COOLEY,HOUSE,,R,OR,,C000737,104.0
1984.0,Christopher,COONS,SENATE,SENATOR,D,DE,,C001088,113.0
231.0,Jim,COOPER,HOUSE,REPRESENTATIVE,D,TN,5.0,C000754,113.0
232.0,Sam,COPPERSMITH,HOUSE,,D,AZ,,C000767,103.0
,,CORDOZA,,,,,,,
,,CORIZINE,,,,,,,
1825.0,Bob,CORKER,SENATE,SENATOR,R,TN,,C001071,113.0
,,CORNY,,,,,,,
1692.0,John,CORNYN,SENATE,SENATOR,R,TX,,C001056,113.0
2312.0,J.,CORREA,HOUSE,,D,CA,,C001110,115.0
1630.0,Jon,CORZINE,SENATE,SENATOR,D,NJ,,C001042,107.0
1774.0,Jim,COSTA,HOUSE,REPRESENTATIVE,D,CA,16.0,C001059,113.0
238.0,Jerry,COSTELLO,HOUSE,REPRESENTATIVE,D,IL,12.0,C000794,107.0
2266.0,Ryan,COSTELLO,HOUSE,REPRESENTATIVE,R,PA,6.0,C001106,114.0
2098.0,Tom,COTTON,HOUSE,REPRESENTATIVE,R,AR,4.0,C001095,113.0
1836.0,Joe,COURTNEY,HOUSE,REPRESENTATIVE,D,CT,2.0,C001069,113.0
1310.0,Paul,COVERDELL,SENATE,,R,GA,,C000813,103.0
242.0,Christopher,COX,HOUSE,REPRESENTATIVE,R,CA,47.0,C000830,107.0
245.0,William,COYNE,HOUSE,REPRESENTATIVE,D,PA,14.0,C000846,107.0
246.0,Larry,CRAIG,SENATE,SENATOR,R,ID,,C000858,107.0
