speaker_id,first_name,last_name,type,party,state,district,bio_guide_id,congress_id
2251,Debbie,Dingell,REPRESENTATIVE,D,MI,12,D000624,114
299,John,Dingell,REPRESENTATIVE,D,MI,12,D000355,113
301,Julian,Dixon,REPRESENTATIVE,D,CA,32,D000373,106
302,Christopher,Dodd,SENATOR,D,CT,,D000388,107
303,Lloyd,Doggett,REPRESENTATIVE,D,TX,35,D000399,113
2013,Robert,Dold,REPRESENTATIVE,R,IL,10,D000613,112
1698,Elizabeth,Dole,SENATOR,R,NC,,D000601,110
1319,Pete,Domenici,SENATOR,R,NM,,D000407,107
1850,Joe,Donnelly,SENATOR,D,IN,,D000607,113
2293,Daniel,Donovan,REPRESENTATIVE,R,NY,11,D000625,114
306,Calvin,Dooley,REPRESENTATIVE,D,CA,20,D000424,107
307,John,Doolittle,REPRESENTATIVE,R,CA,4,D000429,107
308,Byron,Dorgan,SENATOR,D,ND,,D000432,107
316,Michael,Doyle,REPRESENTATIVE,D,PA,14,D000482,113
1808,Thelma,Drake,REPRESENTATIVE,R,VA,2,D000605,110
317,David,Dreier,REPRESENTATIVE,R,CA,28,D000492,107
1946,Steve,Driehaus,REPRESENTATIVE,D,OH,1,D000609,111
2123,Tammy,Duckworth,REPRESENTATIVE,D,IL,8,D000622,113
2072,Sean,Duffy,REPRESENTATIVE,R,WI,7,D000614,112
2057,Jeff,Duncan,REPRESENTATIVE,R,SC,3,D000615,113
322,John,Duncan,REPRESENTATIVE,R,TN,2,D000533,113
324,Jennifer,Dunn,REPRESENTATIVE,R,WA,8,D000549,107
326,Richard,Durbin,SENATOR,D,IL,,D000563,113
1894,Donna,Edwards,REPRESENTATIVE,D,MD,4,E000290,113
1573,John,Edwards,SENATOR,D,NC,,E000286,107
335,Chet,Edwards,REPRESENTATIVE,D,TX,11,E000063,107
339,Vernon,Ehlers,REPRESENTATIVE,R,MI,3,E000092,107
340,Robert,Ehrlich,REPRESENTATIVE,R,MD,2,E000093,107
1857,Keith,Ellison,REPRESENTATIVE,D,MN,5,E000288,113
2036,Renee,Ellmers,REPRESENTATIVE,R,NC,2,E000291,113
1851,Brad,Ellsworth,REPRESENTATIVE,D,IN,8,E000289,110
1725,Rahm,Emanuel,REPRESENTATIVE,D,IL,5,E000287,110
1481,Jo,Emerson,REPRESENTATIVE,R,MO,8,E000172,107
2253,Tom,Emmer,REPRESENTATIVE,R,MN,6,E000294,114
344,Eliot,Engel,REPRESENTATIVE,D,NY,16,E000179,113
347,Phil,English,REPRESENTATIVE,R,PA,21,E000187,107
348,John,Ensign,SENATOR,R,NV,,E000194,107
2125,William,Enyart,REPRESENTATIVE,D,IL,12,E000292,113
1542,Michael,Enzi,SENATOR,R,WY,,E000285,113
2283,Joni,Ernst,SENATOR,R,IA,,E000295,114
355,Anna,Eshoo,REPRESENTATIVE,D,CA,18,E000215,113
2114,Elizabeth,Esty,REPRESENTATIVE,D,CT,5,E000293,113
1482,Bob,Etheridge,REPRESENTATIVE,D,NC,2,E000226,107
361,Lane,Evans,REPRESENTATIVE,D,IL,17,E000250,107
364,Terry,Everett,REPRESENTATIVE,R,AL,2,E000268,107
366,Thomas,Ewing,REPRESENTATIVE,R,IL,15,E000282,106
1329,Lauch,Faircloth,SENATOR,R,NC,,F000437,105
1872,Mary,Fallin,REPRESENTATIVE,R,OK,5,F000453,110
2067,Blake,Farenthold,REPRESENTATIVE,R,TX,27,F000460,113
368,Sam,Farr,REPRESENTATIVE,D,CA,20,F000030,113
371,Chaka,Fattah,REPRESENTATIVE,D,PA,2,F000043,113
373,Harris,Fawell,REPRESENTATIVE,R,IL,13,F000049,105
374,Vic,Fazio,REPRESENTATIVE,D,CA,3,F000053,105
1716,Tom,Feeney,REPRESENTATIVE,R,FL,24,F000447,110
1331,Russell,Feingold,SENATOR,D,WI,,F000061,107
1332,Dianne,Feinstein,SENATOR,D,CA,,F000062,113
1659,Mike,Ferguson,REPRESENTATIVE,R,NJ,7,F000443,107
381,Bob,Filner,REPRESENTATIVE,D,CA,50,F000116,107
2064,Stephen,Fincher,REPRESENTATIVE,R,TN,8,F000458,113
